staffId,name,dob,iban,bic,roleId
3,Velva Shields,1976-07-30,GB49VHZF63392981589063,AAPUGB21,2
4,Francesco Schinner,1997-07-01,GB90IBXP65333147911131,ABECGB21,2
5,Annis Murphy,1973-08-05,GB07WSYW09428726298111,MORLGB2LSMK,1
10,Colby Schneider,1961-09-17,GB38AWWR50990562708583,ABCEGB2L,3
11,Ebonie Kulas,1981-07-20,GB23TWJN07114211962422,BRBAGB2LXXX,1
13,Susannah Nikolaus,2003-06-19,GB34RKHB05228084942414,AAPUGB21,3
18,Carey Stark,1983-04-12,GB09TMGC40313807115422,ANTSGB2LCHA,1
19,Max Von,1973-06-17,GB95WARH45702360813776,BOFAGB3SSWI,3
26,Marianne Gleason,2004-04-26,GB57XLTN54112387347041,AAFMGB21,4
34,Mirta Kling,1963-02-24,GB96HSLT55226111868859,BCYPGB2LSSB,1
38,Wynell Shanahan,1999-12-19,GB51TZJE18756895115697,BARBGB2LHAR,1
49,Steven Ullrich,1989-01-07,GB34XEOA54648220572624,AAOGGB21,4
58,Jeromy Crooks,1985-09-16,GB82ZCKA98732193522802,BCYPGB2LCBB,1
60,Lincoln Ratke,2001-01-17,GB63RCDH89432369051188,BOFAGB22CLS,4
64,Elisa Walker,1992-02-15,GB96IQFC03305398810701,BARBGB2LKEN,1
65,Letisha Kerluke,1983-11-15,GB73TEBY11864260859093,ABECGB21,2
66,Shila Kiehn,1992-11-17,GB30BPAY81605433269975,UBKLGB2LXXX,2
71,Jess Dach,1958-09-07,GB42SCZZ31902339749661,BARBGB2LMAN,4
74,Carmelia Windler,1994-03-27,GB24SKDY60291666614230,ABBYGB2L,4
75,Colby Kihn,1991-12-06,GB37PGFJ39151205911792,ALEIGB22TSY,4
77,Tim Wiza,1984-01-04,GB40RQNX21706322621391,BOFAGB4TLTR,2
78,Gail Bergstrom,1961-10-29,GB34PZUQ10307892228791,BCYPGB2LHGB,3
80,Myrl Koss,1996-04-28,GB60ASPH63559871609244,BCYPGB2LMBB,3
81,Darcel Goldner,1977-03-11,GB00QXSA90103596728736,ABMNGB21,1
82,Robert Beatty,1998-05-10,GB91LNPS34271128244937,AAPUGB21,2
84,Ernestine Heathcote,1965-09-04,GB32NAJE75538576114320,BCYPGB2LBBB,4
89,Kendall O'Keefe,1959-05-27,GB22OPIS36572741317495,BOFAGB4TLTR,1
91,Adrien Kulas,1991-10-01,GB01RPQF79892788937928,BOFAGB4TLTR,4
93,Phyliss Marquardt,1983-01-07,GB83FUGD54313704556323,BARBGB2LKIL,4
100,Lilly Wehner,1985-04-19,GB86QZUQ75703660932707,BARBGB2LWEM,3
103,Domenic Kris,1960-02-26,GB36HPTZ58057284847037,ABNAGB21VOC,2
104,Janeth Buckridge,2004-03-15,GB71SYTY08112644254057,BOFAGB4TCDO,2
105,Adrienne Schinner,1960-04-04,GB66WLXU82175827402788,ABCMGB21,4
110,Jaye Lind,1959-01-22,GB69PPMX26820382390671,BSABGB2LXXX,1
111,Bryon Hudson,1987-07-12,GB51TUCE94935983068812,ABECGB21,4
112,Brant Hahn,1996-11-16,GB20FZIK02789896201935,BRBAGB2LXXX,1
114,Fernande Kuhlman,1968-05-07,GB63VSER00877111863458,AAHOGB21,3
115,Reid Boyle,1965-07-15,GB49WEZS91600810335229,BOFAGB22OF2,4
116,Madelene Treutel,1967-02-13,GB19SRTH94494784444193,UBKLGB2LXXX,2
118,Almeda D'Amore,2001-12-08,GB90OZQP49512525832680,AAHVGB21,3
129,Mariella Hirthe,1999-11-03,GB09IDQS36334268167330,ASTPGB2LXXX,2
131,Justin Runolfsdottir,1969-02-17,GB42BRQS71549350867095,AAPEGB21,2
132,Libbie Marquardt,1972-02-13,GB13GBBA82126884795575,BCYPGB2LCBB,2
136,Mabel Miller,1964-02-29,GB63LQPV63547046367733,ANTSGB2LXXX,4
